UTME    UTMN    DICT
180     2501    0209
177     2500    0209
179     2500    0209
178     2499    0209
180     2498    0209
177     2499    0209
178     2501    0209
178     2496    0209
178     2497    0209
180     2500    0209
176     2501    0209
177     2494    0210
176     2498    0210
174     2499    0210
173     2501    0210
174     2500    0210
175     2498    0210
177     2497    0210
175     2499    0210
175     2500    0210
174     2501    0210
177     2496    0210
177     2495    0210
178     2495    0210
176     2497    0210
186     2493    0211
183     2493    0211
181     2494    0211
186     2494    0211
182     2490    0211
184     2492    0211
183     2492    0211
182     2493    0211
182     2492    0211
181     2492    0211
179     2493    0211
180     2493    0211
182     2494    0211
185     2494    0211
184     2493    0211
183     2491    0211
183     2494    0211
181     2493    0211
178     2494    0211
179     2494    0211
183     2490    0211
181     2491    0211
185     2493    0211
180     2492    0211
182     2491    0211
180     2494    0211
184     2494    0211
185     2495    0211
182     2495    0211
185     2497    0211
181     2496    0211
186     2496    0211
182     2496    0211
180     2495    0211
183     2498    0211
184     2498    0211
181     2498    0211
180     2496    0211
185     2496    0211
182     2498    0211
183     2497    0211
184     2496    0211
179     2495    0211
184     2495    0211
181     2497    0211
182     2497    0211
181     2495    0211
183     2496    0211
184     2497    0211
186     2495    0211
183     2495    0211
329     2782    1101
325     2782    1101
328     2782    1101
324     2781    1101
326     2784    1101
325     2781    1101
330     2781    1101
326     2781    1101
328     2781    1101
327     2783    1101
330     2782    1101
326     2783    1101
329     2781    1101
329     2780    1101
328     2787    1101
325     2784    1101
325     2783    1101
326     2782    1101
327     2782    1101
318     2777    1102
321     2778    1102
318     2776    1102
316     2778    1102
319     2778    1102
320     2777    1102
319     2776    1102
317     2776    1102
317     2775    1102
322     2773    1102
321     2776    1102
315     2776    1102
316     2776    1102
319     2774    1102
320     2776    1102
321     2774    1102
320     2778    1102
318     2778    1102
318     2775    1102
317     2777    1102
319     2775    1102
321     2775    1102
315     2778    1102
320     2775    1102
320     2774    1102
317     2778    1102
319     2777    1102
316     2777    1102
321     2777    1102
321     2773    1102
322     2778    1102
318     2774    1102
315     2779    1102
315     2777    1102
318     2780    1102
319     2779    1102
318     2779    1102
315     2780    1102
314     2780    1102
317     2780    1102
321     2779    1102
318     2781    1102
322     2779    1102
315     2782    1102
317     2779    1102
317     2781    1102
319     2780    1102
316     2781    1102
316     2782    1102
317     2782    1102
315     2781    1102
320     2779    1102
316     2779    1102
314     2779    1102
313     2781    1102
316     2780    1102
318     2783    1102
314     2781    1102
325     2773    1103
322     2776    1103
322     2775    1103
323     2772    1103
324     2772    1103
325     2776    1103
322     2777    1103
324     2773    1103
325     2777    1103
323     2776    1103
325     2774    1103
322     2774    1103
326     2774    1103
